system:index,Latitude,Longitude,angle,day,distance,elevation,fid,first,image_date,lenght,month,ndvi,plot,position,position_n,section,targetdate,year,.geo
0000000000000000000a,64.1346056600009,-51.38368064001246,198.4480048931443,12,2.52531783656719,15.546875,34,0.439068752273554,2020-09-12,5.051390732142191,9,0.439068752273554,eri1,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38368509001768,64.13460714014926]}"
0000000000000000000b,64.1346489650006,-51.38365169001001,194.78488370051323,12,2.504504882746714,15.6484375,37,0.439068752273554,2020-09-12,5.007095825939635,9,0.439068752273554,eri1,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.383655050947766,64.13464731014147]}"
00000000000000000014,64.1311631039573,-51.38740367056985,28.61134368180867,12,2.586320262549376,41.375,64,0.6396039603960396,2020-09-12,5.215795208970021,9,0.6396039603960396,eri2,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38740007707706,64.13116285644449]}"
00000000000000000015,64.13112061853674,-51.387448526777,21.676331742580764,12,2.636972934207153,41.2734375,67,0.6521932754397685,2020-09-12,5.21579519875052,9,0.6521932754397685,eri2,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.387450499127816,64.13112263146066]}"
00000000000000000016,64.1310738820632,-51.38726954587445,24.89841601801068,12,2.483309586391042,40.7578125,70,0.6280788177339901,2020-09-12,4.968584981099538,9,0.6280788177339901,eri2,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38726628776307,64.13107412096882]}"
00000000000000000017,64.13111480408801,-51.387227081322685,24.574545902761738,12,2.523583810703505,40.875,73,0.6396039603960396,2020-09-12,5.049165315864375,9,0.6396039603960396,eri2,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38722606159946,64.13111431880151]}"
0000000000000000000f,64.13471175287735,-51.379039278683834,315.8594699054677,12,2.074177548134976,20.2421875,48,0.5349948787982246,2020-09-12,4.148355096269952,9,0.5349948787982246,eri3,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37903637061179,64.1347128477494]}"
00000000000000000010,64.1346855625072,-51.37897708423191,312.76709956251665,12,2.132485463239813,20.3125,51,0.590749824807288,2020-09-12,4.264970926479625,9,0.590749824807288,eri3,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37897482208288,64.13468628050437]}"
00000000000000000011,64.13472679938901,-51.378893672254804,137.2906100447783,12,2.15840033367837,20.296875,54,0.5365220615498703,2020-09-12,4.31680066735674,9,0.5365220615498703,eri3,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.378893789121825,64.13472658206906]}"
00000000000000000012,64.1347532310686,-51.378956260345504,131.3539664297532,12,2.084881590755153,20.203125,57,0.5365220615498703,2020-09-12,4.169763181510306,9,0.5365220615498703,eri3,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.378955337662745,64.13475314934816]}"
00000000000000000034,64.13329579686855,-51.36642358319717,198.6220873395791,12,2.323654019051471,29.484375,163,0.6460852959898155,2020-09-12,4.649149586036953,9,0.6460852959898155,eri4,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36642349960427,64.13329737276]}"
00000000000000000035,64.13333473722635,-51.36639767785589,194.32701831741716,12,2.198371215131291,29.3671875,166,0.6530238240684179,2020-09-12,4.398484690933214,9,0.6530238240684179,eri4,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36639337832937,64.13333308481977]}"
00000000000000000036,64.13334566137215,-51.366498287411964,17.053829987646193,12,2.282878993830635,29.9453125,169,0.5411954765751211,2020-09-12,4.567567213715757,9,0.5411954765751211,eri4,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36649552343854,64.13334619165649]}"
00000000000000000043,64.13330690797162,-51.366524780561605,16.858398769434277,12,2.224081214440362,30.3671875,204,0.5411954765751211,2020-09-12,4.449925053372673,9,0.5411954765751211,eri4,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36652558590057,64.13330602518046]}"
00000000000000000027,64.13227261815648,-51.37590095798086,293.3016059885788,12,0.985915944132578,28.015625,125,0.4826302729528536,2020-09-12,1.972612845052063,9,0.4826302729528536,loi1,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.3759032511837,64.13227096094381]}"
00000000000000000028,64.13226588311869,-51.37586444557554,293.1547345800608,12,0.943502649677201,27.78125,128,0.4826302729528536,2020-09-12,1.887752662233442,9,0.4826302729528536,loi1,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.375862404981746,64.13226661173236]}"
00000000000000000030,64.13228088910166,-51.37585168617883,113.09218418563749,12,0.919146615050067,27.9453125,151,0.4826302729528536,2020-09-12,1.839021301090713,9,0.4826302729528536,loi1,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37585238903971,64.13228000119913]}"
00000000000000000031,64.13228749656724,-51.37588721084856,113.69598480938342,12,0.96047709497499,28.015625,154,0.4826302729528536,2020-09-12,1.921714996471697,9,0.4826302729528536,loi1,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37588309894304,64.13228883109987]}"
00000000000000000022,64.13163148053559,-51.37046148223106,149.5931170819701,12,0.767578171508525,26.171875,109,0.34915924826904055,2020-09-12,1.535764534790686,9,0.34915924826904055,loi2,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.370459791352495,64.13163007965332]}"
00000000000000000023,64.1316428951466,-51.37047748222309,148.065911465351,12,0.724085112521468,26.03125,112,0.34915924826904055,2020-09-12,1.448743953607521,9,0.34915924826904055,loi2,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37048036187615,64.13164339100396]}"
00000000000000000041,64.13163441368926,-51.370507904600764,331.068276151317,12,0.747260497647364,26.03125,199,0.34915924826904055,2020-09-12,1.495113085652028,9,0.34915924826904055,loi2,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37051083205577,64.1316344044615]}"
00000000000000000042,64.13162287861577,-51.37049163595387,326.37234611073126,12,0.763822622568757,25.75,202,0.34915924826904055,2020-09-12,1.528250457475836,9,0.34915924826904055,loi2,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37049026152422,64.13162109311513]}"
0000000000000000003d,64.13238721454731,-51.37076334048503,34.1861224586239,12,0.608667602719649,44.625,187,0.46505608283002586,2020-09-12,1.216620889229213,9,0.46505608283002586,loi3,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37076557630745,64.13238657477767]}"
0000000000000000003e,64.13239604300036,-51.37074822602162,220.00625602650894,12,0.62143080853867,44.625,190,0.5075075075075075,2020-09-12,1.241377131152271,9,0.5075075075075075,loi3,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.370745301942186,64.1323955354377]}"
